Sample	No_rec_fused_gene
BS_D7XRFE0R	1
BS_DBEX7AG2	1
BS_DEHJF4C7	1
BS_DFGS950G	1
BS_DFWFBYSN	1
BS_DGTPWJ59	1
BS_DHA5FMVW	1
BS_DMZP9G1H	1
BS_DN56302W	1
BS_DPF1CX0G	1
BS_DRD9QXR5	1
BS_DS438CXE	1
BS_DSS3S5XD	1
BS_DV2X3CC4	1
BS_DV86M0Y7	1
BS_DVCQ8XDZ	1
BS_DY88N5ZT	1
BS_DY9NTFQR	1
BS_E054DFJN	1
BS_E2Z940S4	1
BS_E3BAT4C1	1
BS_E3EJHXQV	1
BS_E4F1D721	1
BS_E94QRJDW	1
BS_EBMCTR80	1
BS_EE17YHEH	1
BS_EF775B3K	1
BS_EFE4YEK3	1
BS_EFEB483R	1
BS_EFEZB0ZH	1
BS_EHVYJAVA	1
BS_EK5PCKY0	1
BS_EMMF4PZX	1
BS_EMYET8F4	1
BS_ENKG5GF3	1
BS_ERJAJ0KA	1
BS_ERWT0ZWE	1
BS_ET8CJXSF	1
BS_EVCAC3NH	1
BS_EXGBH3TD	1
BS_EXYHZ6D4	1
BS_EYSS0ZDS	1
BS_EYYMKWB7	1
BS_EZ3147MX	1
BS_F0JB4EAK	1
BS_F4E8R9VY	1
BS_F5BZSF3Q	1
BS_F63KKBGX	1
BS_F6V1Y4QS	1
BS_F6Z5HFWH	1
BS_F8N6CFQE	1
BS_F9WKPDFG	1
BS_FAQQ0GCQ	1
BS_FAVRBEW7	1
BS_FBJ5Q54N	1
BS_FCDAH728	1
BS_FEV5A0HN	1
BS_FEYMKEK8	1
BS_FJWZ3M7V	1
BS_FKDQJJB5	1
BS_FN07P04C	1
BS_FRM9TG02	1
BS_FRZ76GEG	1
BS_FTKPQ5FZ	1
BS_FW5ECXXK	1
BS_FWMJPKCV	1
BS_FX2P2WEG	1
BS_FXHXQRKE	1
BS_FXJY0MNH	1
BS_FYRDYBMZ	1
BS_G00FHF3Q	1
BS_G1Y281HX	1
BS_G23JJAZY	1
BS_G3NN392N	1
BS_G43E1QBM	1
BS_G5QBBHDV	1
BS_G63HYD6N	1
BS_G7AGNB5G	1
BS_G7PA9EGA	1
BS_G9XE3N9T	1
BS_GAGRGSSX	1
BS_GBRB4J2G	1
BS_GC3CH9TY	1
BS_GCA4GET3	1
BS_GCQFGDTX	1
BS_GFM6EA61	1
BS_GG9W3J9Y	1
BS_GHNJ4CYC	1
BS_GJNCYABP	1
BS_GMDQK06Q	1
BS_GNV89A5P	1
BS_GPEGRCCT	1
BS_GSVCN2XC	1
BS_GTZCFGRZ	1
BS_GV3NZ9QD	1
BS_GW0GKWMS	1
BS_GWCRMKE6	1
BS_GWSJ4Z9H	1
BS_GYA4V1RD	1
BS_GYXSDZ56	1
BS_H0QWRJE2	1
BS_H1XPVS9A	1
BS_H1ZS5FMZ	1
BS_H2RX54Z5	1
BS_H3FE3TH9	1
BS_H3Y8FWHV	1
BS_H4NXBD2D	1
BS_H6CNYG42	1
BS_H8A9PSYA	1
BS_H97S5SQN	1
BS_HA20Y4XY	1
BS_HB03GSHF	1
BS_HBJZR69P	1
BS_HBVWGB88	1
BS_HC5M8JTC	1
BS_HCP5C912	1
BS_HD4EJYE3	1
BS_HE57E1RP	1
BS_HF3RNN2T	1
BS_HHPA8NJ2	1
BS_HJRTC9JQ	1
BS_HKZENFDA	1
BS_HQ5BJ6MW	1
BS_HSHN8PBB	1
BS_HTEPAKCM	1
BS_HV8PFRBR	1
BS_HYMWP6WF	1
BS_HZE3KYZ1	1
BS_HZRM07TW	1
BS_J1AB8PMA	1
BS_J483EMFP	1
BS_J4GQPZS0	1
BS_J60G8DMK	1
BS_J6VKB1VE	1
BS_J70GK8SM	1
BS_J71N7D09	1
BS_J8G4SH4Z	1
BS_J8VX4D17	1
BS_JB43XBCQ	1
BS_JCPKYHKY	1
BS_JFB984RG	1
BS_JFEZA9KE	1
BS_JFR750KD	1
BS_JFV08S7K	1
BS_JG9JZTA9	1
BS_JGPR9SR2	1
BS_JH29M4KG	1
BS_JHGW42S6	1
BS_JK0VPG1T	1
BS_JKXA3FQC	1
BS_JMHG7GCN	1
BS_JQVAWTTM	1
BS_JR5ATB7G	1
BS_JRYJGYC4	1
BS_JS95PE0J	1
BS_JSPR854S	1
BS_JT82QGXF	1
BS_JTMXAMB7	1
BS_JTS7NN6F	1
BS_JV9G8CNX	1
BS_JVA2NQFF	1
BS_JVW2JJ39	1
BS_JWCX8R17	1
BS_JWSR581E	1
BS_JX449BF5	1
BS_JX7S9MY7	1
BS_JXAVKXZE	1
BS_JXBXMNQH	1
BS_JXF8A2A6	1
BS_JXNZYGCR	1
BS_JZRM1S3T	1
BS_K17VQECG	1
BS_K25F4J3V	1
BS_K2FHZGTK	1
BS_K3ER45RV	1
BS_K4M7364J	1
BS_K5802F84	1
BS_K74PZET7	1
BS_K7MVS0Z7	1
BS_K81DR8XG	1
BS_KABQQA0T	1
BS_KBEX4RT2	1
BS_KBT7MQ6H	1
BS_KDSTG5YY	1
BS_KEA474HN	1
BS_KF0ZXDER	1
BS_KK5C8VCK	1
BS_KM00PY03	1
BS_KM2EX0K6	1
BS_KN92S7YQ	1
BS_KND4B5CW	1
BS_KP735TJ6	1
BS_KPT2WPHW	1
BS_KQ6ZW085	1
BS_KQQG5PTR	1
BS_KSKZ9J7J	1
BS_KSS4AAPP	1
BS_KVNGNETA	1
BS_KVV7001W	1
BS_KX6J8TRK	1
BS_KXCY5BN5	1
BS_KXH37MPN	1
BS_KXMYBQ6N	1
BS_KYF0Q0E7	1
BS_KZPR01BD	1
BS_M026T44Q	1
BS_M0QYNVK8	1
BS_M15PW2N0	1
BS_M1PVEHCM	1
BS_M1T1K5WV	1
BS_M4923M40	1
BS_M4NVX721	1
BS_M4TTKPNR	1
BS_M7HCF7DW	1
BS_M7QJ8VF0	1
BS_M86ECPHK	1
BS_M8M56Z4Y	1
BS_M8WP5T16	1
BS_M9C4RY4P	1
BS_MA1A3GY0	1
BS_MA2T7ET1	1
BS_MB7WN0ZB	1
BS_MBSTWZA6	1
BS_MD3DT41J	1
BS_MDBT7S5Z	1
BS_ME3HKN2C	1
BS_MF47B9ZW	1
BS_MF9X3PKH	1
BS_MGAMKKBD	1
BS_MKM0EEN1	1
BS_MM20BVW9	1
BS_MMNRZ1EQ	1
BS_MN5XVP5A	1
BS_MQCKXD60	1
BS_MT15SGJN	1
BS_MVW01FPB	1
BS_MWWZBQ60	1
BS_MY9D8XZ1	1
BS_N0877CX1	1
BS_N1E0H8YQ	1
BS_N4B1SZZH	1
BS_N5B2CZMH	1
BS_N5BY41QD	1
BS_N5DVEJXT	1
BS_N6NE6B3W	1
BS_N8J1DP02	1
BS_NB5XWMJT	1
BS_NB9XXBW6	1
BS_NDC69214	1
BS_NDFDQBCZ	1
BS_NDN62H0S	1
BS_NDRDM2A9	1
BS_NEVYM2FP	1
BS_NFRXNAFE	1
BS_NGHK9RZP	1
BS_NGSG2KB6	1
BS_NGY0TE6S	1
BS_NH1WXK6Q	1
BS_NH7K4CD9	1
BS_NJ4WPQVK	1
BS_NK7K4GFE	1
BS_NKEAAFMW	1
BS_NKRYMHEP	1
BS_NPA6CZQF	1
